problem,population_size,pm,tournament_size,pc,elitism,max_evals,trial_index,seed,best_fitness,best_d,generations,evals_used
BPP1,100,0.01,3,0.8,10,10000,0,10,0.398406374501992,250.0,110,10000
BPP1,100,0.01,3,0.8,10,10000,1,11,0.4694835680751174,212.0,110,10000
BPP1,100,0.01,3,0.8,10,10000,2,12,0.3257328990228013,306.0,110,10000
BPP1,100,0.01,3,0.8,10,10000,3,13,0.373134328358209,267.0,110,10000
BPP1,100,0.01,3,0.8,10,10000,4,14,0.3875968992248062,257.0,110,10000
BPP1,100,0.05,3,0.8,10,10000,0,110,0.13175230566534915,758.0,110,10000
BPP1,100,0.05,3,0.8,10,10000,1,111,0.13774104683195593,725.0,110,10000
BPP1,100,0.05,3,0.8,10,10000,2,112,0.11778563015312132,848.0,110,10000
BPP1,100,0.05,3,0.8,10,10000,3,113,0.15625,639.0,110,10000
BPP1,100,0.05,3,0.8,10,10000,4,114,0.11286681715575621,885.0,110,10000
BPP1,100,0.01,7,0.8,10,10000,0,210,0.5586592178770949,178.0,110,10000
BPP1,100,0.01,7,0.8,10,10000,1,211,0.5524861878453039,180.0,110,10000
BPP1,100,0.01,7,0.8,10,10000,2,212,0.7633587786259542,130.0,110,10000
BPP1,100,0.01,7,0.8,10,10000,3,213,0.4807692307692308,207.0,110,10000
BPP1,100,0.01,7,0.8,10,10000,4,214,0.6134969325153374,162.0,110,10000
BPP1,100,0.05,7,0.8,10,10000,0,310,0.1694915254237288,589.0,110,10000
BPP1,100,0.05,7,0.8,10,10000,1,311,0.14084507042253522,709.0,110,10000
BPP1,100,0.05,7,0.8,10,10000,2,312,0.1557632398753894,641.0,110,10000
BPP1,100,0.05,7,0.8,10,10000,3,313,0.14144271570014144,706.0,110,10000
BPP1,100,0.05,7,0.8,10,10000,4,314,0.16891891891891891,591.0,110,10000
BPP2,100,0.01,3,0.8,10,10000,0,10010,0.0005781265808148694,172971.5,110,10000
BPP2,100,0.01,3,0.8,10,10000,1,10011,0.0006910253088019348,144711.5,110,10000
BPP2,100,0.01,3,0.8,10,10000,2,10012,0.0005805717470565013,172243.0,110,10000
BPP2,100,0.01,3,0.8,10,10000,3,10013,0.0006106758349465353,163752.0,110,10000
BPP2,100,0.01,3,0.8,10,10000,4,10014,0.0005557516123743654,179935.5,110,10000
BPP2,100,0.05,3,0.8,10,10000,0,10110,0.00036394207497934627,274768.0,110,10000
BPP2,100,0.05,3,0.8,10,10000,1,10111,0.0003495654028129528,286068.5,110,10000
BPP2,100,0.05,3,0.8,10,10000,2,10112,0.00035525366888226537,281488.0,110,10000
BPP2,100,0.05,3,0.8,10,10000,3,10113,0.00031853829148801975,313933.0,110,10000
BPP2,100,0.05,3,0.8,10,10000,4,10114,0.0003773748672112186,264987.5,110,10000
BPP2,100,0.01,7,0.8,10,10000,0,10210,0.0008961697704013049,111585.0,110,10000
BPP2,100,0.01,7,0.8,10,10000,1,10211,0.000853537271838818,117158.5,110,10000
BPP2,100,0.01,7,0.8,10,10000,2,10212,0.0008680856974200493,115195.0,110,10000
BPP2,100,0.01,7,0.8,10,10000,3,10213,0.0009291435155074053,107625.0,110,10000
BPP2,100,0.01,7,0.8,10,10000,4,10214,0.0008006597436287501,124896.0,110,10000
BPP2,100,0.05,7,0.8,10,10000,0,10310,0.00040258864498726813,248391.5,110,10000
BPP2,100,0.05,7,0.8,10,10000,1,10311,0.00040743487153578503,245437.0,110,10000
BPP2,100,0.05,7,0.8,10,10000,2,10312,0.0004032924798051291,247958.0,110,10000
BPP2,100,0.05,7,0.8,10,10000,3,10313,0.0004284196456112692,233415.0,110,10000
BPP2,100,0.05,7,0.8,10,10000,4,10314,0.00043311417755948823,230885.0,110,10000
